Comment,Designator,Footprint,LCSC
"1u","C1,C2,C3,C11","Capacitor_SMD:C_0402_1005Metric","C52923"
"30p","C15,C16","Capacitor_SMD:C_0402_1005Metric","C1570"
"100n","C4,C5,C6,C7,C8,C9,C10,C12,C13,C14","Capacitor_SMD:C_0402_1005Metric","C1525"
"LED","D1","LED_SMD:LED_0603_1608Metric","C72043"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3",""
"Screw terminals","J1","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal","C915913"
"USB_A","J2","USB_A_Female:USB_A_Female_UE27AC54100","C86461"
"27","R1,R2","Resistor_SMD:R_0402_1005Metric","C138021"
"10k","R3","Resistor_SMD:R_0402_1005Metric","C25744"
"1k","R4,R5","Resistor_SMD:R_0402_1005Metric","C11702"
"200","R6","Resistor_SMD:R_0402_1005Metric","C258095"
"SW_MEC_5G","SW1","Button_Switch_SMD:SW_SPST_Omron_B3FS-100xP","C271750"
"LDK120M33","U1","Package_TO_SOT_SMD:SOT-23-5","C2688675"
"RP2040","U2","RP2040:RP2040-QFN-56","C2040"
"W25Q128JVS","U3","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"
