Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,-3.28,-15.15,180,top
C2,1u,C_0402_1005Metric,-4.3,-10.05,0,top
C3,1u,C_0402_1005Metric,-4.25,-6.6,-90,top
C4,100n,C_0402_1005Metric,0,-7.2,-90,top
C5,100n,C_0402_1005Metric,5.32,-3.4,0,top
C6,100n,C_0402_1005Metric,-5.72,1,180,top
C7,100n,C_0402_1005Metric,5.4,1,0,top
C8,100n,C_0402_1005Metric,-1,5.8,90,top
C9,100n,C_0402_1005Metric,-5.4,-3.4,180,top
C10,100n,C_0402_1005Metric,-5.4,-4.4,180,top
C11,1u,C_0402_1005Metric,-3.2,-7.2,-90,top
C12,100n,C_0402_1005Metric,1,-7.6,-90,top
C13,100n,C_0402_1005Metric,-2,5.8,90,top
C14,100n,C_0402_1005Metric,9.7,-13.2,-90,top
C15,30p,C_0402_1005Metric,1.6,7.1,180,top
C16,30p,C_0402_1005Metric,-1.6,9.8,-90,top
J1,Screw terminals,TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal,-11.4,-1.985,-90,top
J2,USB_A,USB_A_Female_UE27AC54100,0.2,-21,0,top
R1,27,R_0402_1005Metric,-2.14,-7.2,90,top
R2,27,R_0402_1005Metric,-1.04,-7.2,90,top
R3,10k,R_0402_1005Metric,9.7,-8,90,top
R4,1k,R_0402_1005Metric,8.31,1,-90,top
R5,1k,R_0402_1005Metric,0.1,6.6,90,top
SW1,SW_MEC_5G,SW_SPST_Omron_B3FS-100xP,13,1,90,top
U1,TLV73333PDBV,SOT-23-5,-3.8,-12.6,90,top
U2,RP2040,RP2040_QFN-56_EP_7x7_Pitch0.4mm_ThermalVias,0,0,180,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,6.2,-9.8,-90,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,0.8,9.8,90,top
